,_url,birth_year,height,avg_pos,num_races
0,johann-van-zyl,1991,190.0,70.81818181818181,11
1,robert-hunter,1977,178.0,117.95970695970696,273
2,anass-ait-el-abdia,1993,180.0,60.691489361702125,564
3,negasi-abreha,2000,186.0,103.7929515418502,227
4,ryan-cox,1979,177.0,44.64009111617312,439
5,nick-dougall,1992,192.0,63.40384615384615,364
6,dan-craven,1983,184.0,33.395833333333336,144
7,henok-mulubrhan,1999,176.0,49.53757225433526,346
8,amanuel-ghebreigzabhier,1994,187.0,26.225978647686837,562
9,ian-mcleod,1980,177.0,125.42857142857144,14
10,jaco-venter,1987,190.0,52.260475651189125,883
11,mekseb-debesay,1991,182.0,60.22790697674419,430
12,natnael-tesfatsion,1999,175.0,104.73,100
13,willie-smit,1992,180.0,57.36772983114447,533
14,tiaan-kannemeyer,1978,182.0,110.0,5
15,reinardt-janse-van-rensburg,1989,182.0,41.89473684210526,19
16,louis-meintjes,1992,173.0,53.993299832495815,597
17,daryl-impey,1984,181.0,101.67091836734694,392
18,stefan-de-bod,1996,183.0,57.142857142857146,14
19,tarik-chaoufi,1986,174.0,63.90243902439025,41
20,john-lee-augustyn,1986,178.0,84.86575875486382,514
21,biniam-girmay,2000,184.0,84.04093567251462,171
22,youcef-reguigui,1990,172.0,84.34848484848484,132
23,merhawi-kudus,1994,173.0,64.45161290322581,341
24,rafaa-chtioui,1986,190.0,68.38526912181302,353
25,tsgabu-gebremaryam-grmay,1991,175.0,60.480716253443525,726
26,jacques-janse-van-rensburg,1987,175.0,69.39915966386555,238
27,omar-el-gouzi,1999,181.0,33.77902621722846,534
28,adrien-niyonshuti,1987,175.0,104.23157894736842,95
29,welay-hagos-berhe,2001,170.0,97.20408163265306,294
30,ryan-gibbons,1994,182.0,113.00790513833992,253
31,daniel-teklehaimanot,1988,188.0,50.875,152
32,david-george,1976,177.0,72.72894736842105,380
33,natnael-berhane,1991,182.0,68.5925925925926,405
34,nickolas-dlamini,1995,177.0,149.66666666666666,21
35,jay-robert-thomson,1986,185.0,78.80407124681933,393
36,songezo-jim,1990,176.0,67.83737517831669,701
37,andrei-teteriouk,1967,183.0,84.06840390879479,307
38,daniil-fominykh,1991,185.0,80.16616314199396,331
39,gleb-brussenskiy,2000,178.0,43.79127725856698,642
40,itamar-einhorn,1997,172.0,93.12760416666669,384
41,sho-hatsuyama,1988,175.0,122.251968503937,127
42,bolat-raimbekov,1986,181.0,26.33333333333333,54
43,chun-kai-feng,1988,170.0,62.29090909090909,55
44,kirill-pozdnyakov,1989,176.0,71.17241379310344,58
45,andrey-mizurov,1973,171.0,93.24193548387096,124
46,mehdi-sohrabi,1981,170.0,75.48283261802575,466
47,dmitriy-gruzdev,1986,186.0,52.67977528089887,178
48,maxim-iglinskiy,1981,171.0,74.40816326530613,147
49,guy-niv,1994,168.0,82.42045454545455,352
50,alexandre-shefer,1971,176.0,82.27654867256638,452
51,omer-goldstein,1996,174.0,73.30416666666666,240
52,maxim-gourov,1979,189.0,76.3103448275862,87
53,manabu-ishibashi,1992,177.0,29.119266055045877,327
54,hossein-askari,1975,179.0,39.1986301369863,292
55,alexandre-vinokourov,1973,177.0,72.95514018691588,535
56,nikita-stalnov,1991,176.0,80.52836879432624,564
57,yukiya-arashiro,1984,170.0,106.63054187192118,203
58,takashi-miyazawa,1978,164.0,35.97489539748954,239
59,assan-bazayev,1981,177.0,141.4,5
60,cheng-ji,1987,178.0,82.39393939393939,66
61,vadim-pronskiy,1998,173.0,98.57142857142856,49
62,dmitriy-muravyev,1979,189.0,71.12844036697248,109
